[0002|0.96] bce:  0.00179 | dice:  0.28970 | iou_background:  0.60700 | iou_ring:  0.63679 | iou_boundary:  0.55905 | iou_center:  0.00000 | lr:  0.00100
[0002|0.98] bce:  0.00178 | dice:  0.29113 | iou_background:  0.60556 | iou_ring:  0.63784 | iou_boundary:  0.55762 | iou_center:  0.00000 | lr:  0.00100
[0002|1.00] bce:  0.00179 | dice:  0.29066 | iou_background:  0.59816 | iou_ring:  0.63959 | iou_boundary:  0.55816 | iou_center:  0.00000 | lr:  0.00100
[0003|0.02] bce:  0.00118 | dice:  0.25613 | iou_background:  0.62243 | iou_ring:  0.62456 | iou_boundary:  0.59670 | iou_center:      nan | lr:  0.00100
[0003|0.04] bce:  0.00140 | dice:  0.26448 | iou_background:  0.58385 | iou_ring:  0.64630 | iou_boundary:  0.58773 | iou_center:  0.00000 | lr:  0.00100
[0003|0.07] bce:  0.00129 | dice:  0.26451 | iou_background:  0.66685 | iou_ring:  0.62900 | iou_boundary:  0.58731 | iou_center:  0.00000 | lr:  0.00100
[0003|0.09] bce:  0.00125 | dice:  0.26221 | iou_background:  0.69719 | iou_ring:  0.62217 | iou_boundary:  0.59043 | iou_center:  0.00000 | lr:  0.00100
[0003|0.11] bce:  0.00130 | dice:  0.26598 | iou_background:  0.68491 | iou_ring:  0.61434 | iou_boundary:  0.58737 | iou_center:  0.00000 | lr:  0.00100
[0003|0.13] bce:  0.00132 | dice:  0.26292 | iou_background:  0.67871 | iou_ring:  0.61663 | iou_boundary:  0.59045 | iou_center:  0.00000 | lr:  0.00100
[0003|0.16] bce:  0.00131 | dice:  0.26374 | iou_background:  0.69073 | iou_ring:  0.61957 | iou_boundary:  0.58911 | iou_center:  0.00000 | lr:  0.00100
[0003|0.18] bce:  0.00130 | dice:  0.26622 | iou_background:  0.69994 | iou_ring:  0.61896 | iou_boundary:  0.58570 | iou_center:  0.00000 | lr:  0.00100
[0003|0.20] bce:  0.00129 | dice:  0.27348 | iou_background:  0.67934 | iou_ring:  0.62006 | iou_boundary:  0.57783 | iou_center:  0.00000 | lr:  0.00100
[0003|0.22] bce:  0.00123 | dice:  0.27724 | iou_background:  0.65875 | iou_ring:  0.62687 | iou_boundary:  0.57297 | iou_center:  0.00000 | lr:  0.00100
